Gender,Stat,Age,5th,10th,25th,50th,75th,90th,95th
F,H,118.5,126.7392,129.0238,132.9109,137.3333,141.8665,146.0429,148.5865
F,H,119.5,127.094,129.3973,133.3147,137.7691,142.3324,146.5341,149.092
F,H,120.5,127.4524,129.7752,133.7239,138.2112,142.8051,147.0322,149.6044
F,H,121.5,127.8154,130.1584,134.1394,138.6602,143.2852,147.5379,150.1242
F,H,122.5,128.184,130.5479,134.562,139.1172,143.7735,148.0517,150.652
F,H,123.5,128.5591,130.9446,134.9929,139.5829,144.2707,148.5741,151.188
F,H,124.5,128.9419,131.3496,135.4328,140.0581,144.7773,149.1054,151.7325
F,H,125.5,129.3334,131.7639,135.8826,140.5435,145.2938,149.646,152.2856
F,H,126.5,129.7346,132.1885,136.3433,141.0397,145.8206,150.196,152.8473
F,H,127.5,130.1467,132.6243,136.8154,141.5472,146.3579,150.7552,153.4174
F,H,128.5,130.5705,133.0721,137.2997,142.0664,146.9059,151.3236,153.9955
F,H,129.5,131.0071,133.5329,137.7967,142.5974,147.4643,151.9008,154.5812
F,H,130.5,131.4573,134.0072,138.3067,143.1404,148.0329,152.4861,155.1737
F,H,131.5,131.9218,134.4955,138.83,143.695,148.6111,153.079,155.7721
F,H,132.5,132.4013,134.9983,139.3664,144.2609,149.1984,153.6783,156.3755
F,H,133.5,132.8962,135.5157,139.9157,144.8376,149.7937,154.283,156.9825
F,H,134.5,133.4067,136.0476,140.4775,145.424,150.3959,154.8918,157.5918
F,H,135.5,133.9328,136.5937,141.051,146.0192,151.0036,155.5032,158.202
F,H,136.5,134.4742,137.1534,141.6352,146.6217,151.6153,156.1156,158.8115
F,H,137.5,135.0304,137.7259,142.2288,147.23,152.2293,156.7273,159.4185
F,H,138.5,135.6004,138.31,142.8304,147.8424,152.8438,157.3365,160.0213
F,H,139.5,136.1831,138.9043,143.4381,148.4569,153.4568,157.9413,160.6182
F,H,140.5,136.7769,139.507,144.0501,149.0714,154.0662,158.5398,161.2075
F,H,141.5,137.3801,140.1161,144.6641,149.6839,154.67,159.1302,161.7874
F,H,142.5,137.9905,140.7295,145.278,150.292,155.2663,159.7107,162.3564
F,H,143.5,138.6058,141.3448,145.8893,150.8936,155.8529,160.2796,162.9129
F,H,144.5,139.2236,141.9594,146.4958,151.4866,156.428,160.8353,163.4555
F,H,145.5,139.841,142.5709,147.0949,152.0687,156.9899,161.3764,163.983
F,H,146.5,140.4554,143.1767,147.6845,152.6381,157.5369,161.9016,164.4943
F,H,147.5,141.064,143.7741,148.2623,153.193,158.0677,162.4097,164.9885
F,H,148.5,141.6641,144.3607,148.8263,153.7317,158.581,162.8999,165.4648
F,H,149.5,142.253,144.9342,149.3747,154.2529,159.0758,163.3715,165.9227
F,H,150.5,142.8283,145.4925,149.9059,154.7555,159.5513,163.8239,166.3618
F,H,151.5,143.3877,146.0338,150.4184,155.2385,160.007,164.2568,166.7819
F,H,152.5,143.9294,146.5564,150.9113,155.7012,160.4425,164.6701,167.1829
F,H,153.5,144.4516,147.059,151.3835,156.1432,160.8576,165.0637,167.5648
F,H,154.5,144.953,147.5405,151.8346,156.5643,161.2524,165.4378,167.9278
F,H,155.5,145.4325,148.0002,152.2642,156.9644,161.627,165.7928,168.2723
F,H,156.5,145.8894,148.4376,152.6721,157.3437,161.9818,166.1289,168.5987
F,H,157.5,146.3232,148.8525,153.0584,157.7025,162.3172,166.4466,168.9074
F,H,158.5,146.7338,149.2449,153.4234,158.0411,162.6338,166.7467,169.199
F,H,159.5,147.1213,149.615,153.7674,158.3603,162.9321,167.0296,169.4742
F,H,160.5,147.4859,149.9633,154.0911,158.6606,163.2129,167.2961,169.7335
F,H,161.5,147.8281,150.2902,154.3951,158.9427,163.477,167.5469,169.9777
F,H,162.5,148.1487,150.5966,154.6801,159.2075,163.725,167.7826,170.2074
F,H,163.5,148.4483,150.8831,154.947,159.4557,163.9577,168.0042,170.4234
F,H,164.5,148.7279,151.1507,155.1966,159.6882,164.1761,168.2122,170.6263
F,H,165.5,148.9885,151.4003,155.4298,159.9058,164.3808,168.4075,170.817
F,H,166.5,149.2309,151.6329,155.6475,160.1094,164.5726,168.5907,170.9959
F,H,167.5,149.4562,151.8494,155.8507,160.2997,164.7523,168.7626,171.1639
F,H,168.5,149.6655,152.0508,156.0401,160.4777,164.9206,168.9239,171.3216
F,H,169.5,149.8598,152.2381,156.2167,160.6441,165.0783,169.0751,171.4696
F,H,170.5,150.04,152.4121,156.3813,160.7995,165.226,169.217,171.6085
F,H,171.5,150.2072,152.5738,156.5348,160.9449,165.3644,169.3501,171.7388
F,H,172.5,150.3621,152.7241,156.6778,161.0808,165.4941,169.4749,171.8611
F,H,173.5,150.5059,152.8638,156.8112,161.2079,165.6157,169.5921,171.976
F,H,174.5,150.6392,152.9936,156.9356,161.3268,165.7297,169.7022,172.0839
F,H,175.5,150.7629,153.1143,157.0517,161.4381,165.8366,169.8055,172.1853
F,H,176.5,150.8777,153.2266,157.16,161.5423,165.9369,169.9026,172.2806
F,H,177.5,150.9843,153.3312,157.2612,161.6399,166.0312,169.9939,172.3701
F,H,178.5,151.0833,153.4286,157.3558,161.7315,166.1197,170.0798,172.4544
F,H,179.5,151.1754,153.5193,157.4443,161.8174,166.2029,170.1606,172.5337
F,H,180.5,151.2611,153.604,157.5271,161.898,166.2812,170.2366,172.6084
F,H,181.5,151.341,153.683,157.6047,161.9738,166.3549,170.3083,172.6787
F,H,182.5,151.4154,153.7569,157.6775,162.045,166.4244,170.3759,172.7451
F,H,183.5,151.4848,153.826,157.7458,162.112,166.4898,170.4396,172.8076
F,H,184.5,151.5497,153.8907,157.8099,162.1752,166.5516,170.4997,172.8667
F,H,185.5,151.6103,153.9513,157.8702,162.2347,166.6099,170.5566,172.9225
F,H,186.5,151.6671,154.0082,157.927,162.2908,166.6649,170.6103,172.9752
F,H,187.5,151.7203,154.0616,157.9804,162.3439,166.717,170.6611,173.025
F,H,188.5,151.7702,154.1119,158.0308,162.394,166.7663,170.7091,173.0722
F,H,189.5,151.8171,154.1592,158.0784,162.4414,166.8129,170.7546,173.1168
F,H,190.5,151.8612,154.2037,158.1234,162.4862,166.8571,170.7978,173.1591
F,H,191.5,151.9027,154.2457,158.1659,162.5287,166.899,170.8387,173.1992
F,H,192.5,151.9418,154.2854,158.2061,162.569,166.9388,170.8775,173.2373
F,H,193.5,151.9787,154.3229,158.2442,162.6072,166.9766,170.9144,173.2734
F,H,194.5,152.0135,154.3584,158.2803,162.6435,167.0125,170.9494,173.3077
